,編號,日期,課程,遊戲規則,知識點說明,專案問題,專案連結
,29,2026.1.12,教育版進階班_L14,Minecraft 計分板與指令方塊,"1. 創造計分板（記分板） 想像計分板就像遊戲裡的「分數表」。
指令長這樣：
/scoreboard objectives add 計分板名稱 dummy dummy 就是「虛擬的」，這個分數表不能自己長，要靠指令改分數。
2. 顯示計分板 創好計分板後，可以把它顯示在螢幕旁邊。
指令長這樣：
/scoreboard objectives setdisplay sidebar 計分板名稱
3. 設定玩家的初始分數 想像每個玩家都有自己的分數欄位，剛開始可以先給 0 分。
指令長這樣：
/scoreboard players set 項目名稱 計分板名稱 初始值 如果項目名稱設成 @p，就是你自己。
4. 增加分數 想讓玩家分數加 1、加 10 或加更多。
指令長這樣：
/scoreboard players add 項目名稱 計分板名稱 分數
5.偵測分數 可以檢查玩家的分數有沒有到某個範圍。
指令長這樣：
/scoreboard players test 項目名稱 計分板名稱 最小值 最大值
6. 設置方塊 想在地圖上放方塊或紅石裝置。
指令長這樣：
/setblock x y z 物品ID 方向代號 x y z 是方塊位置，可以是數字或相對位置。
方向代號：北 0、東 1、南 2、西 3，如果不用就可以省略。
1.20 版本後：
/setblock 11 22 33 unpowered_comparator [""direction""=1]","1. 在 Minecraft 裡，如果我想做一個「可以記錄分數的表」，需要用哪一個指令來「創造計分板」？
Ans： /scoreboard objectives add 計分板名稱 dummy 例如： /scoreboard objectives add time dummy

2.計分板後面的 dummy 是什麼意思？
Ans： dummy 表示這個計分板不會自己變動， 只能用「指令」來加分或改分數。

3.如果玩家每過 1 秒，就要讓 time 計分板的分數加 1，指令是什麼？
Ans : /scoreboard players add @p time 1"," 進階班
"
,30,2026.1.12,教育版進階班_L15,前面整合 ＋ 粒子特效！,"什麼是粒子（Particle）？
粒子就是 Minecraft 裡那些 閃閃發光、漂浮、冒煙、冒泡泡 的特效，它們不是真正的實體，只是 好看的動畫效果。比如爆炸的煙霧、愛心、音符等等。 用指令可以自己讓它們出現，就像玩魔法一樣！
/particle 指令的基本用法（
/particle Minecraft粒子名稱 x y z
例子：讓 心型粒子 在指令方塊上方 2 格出現：
/particle minecraft:heart_particle ~ ~2 ~   這裡的 ~ 意思是 指令方塊的位置，加數字就是相對位置；不加就是原地位置。

小撇步
    多個粒子同時顯示
你可以在指令方塊連續執行很多個 /particle 指令，或搭配 /execute 指令一起用，讓粒子跟著實體或玩家移動。
     改變位置
~ ~1 ~ → 在玩家上方 1 格
100 65 -50 → 指定世界的絕對坐標
    問自己：我要的是什麼感覺？
愛心？火焰？爆炸？魔法？
選擇合適的粒子名稱就能做到不同效果！

參考資料：https://minecraft.fandom.com/wiki/Particles","1. 如果你想做「爆炸後的煙霧效果」，可以用哪一種粒子？
Ans：minecraft:explosion_particle

2.想讓粒子出現在「自己頭上」，x y z 可以怎麼寫？
Ans：~ ~1 ~ 或 ~ ~2 ~（在自己上方

3.下面這行指令會發生什麼事？ /particle minecraft:heart_particle ~ ~2 ~
A. 在地底下出現愛心
B. 在指令方塊「上方 2 格」出現愛心
C. 在全世界到處出現愛心
Ans：B

4.如果你想讓粒子出現在「玩家腳下」，位置應該怎麼寫？
A. ~ ~2 ~
B. ~ ~ ~
C. ~ ~-1 ~
Ans：C"," 進階班
"
,31,2026.1.19,教育版應用班_L1,像蓋積木一樣寫程式：函式、參數、變數、迴圈,"1. 函式（Functions）＝會幫你做事的小幫手 函式就像一個「已經寫好步驟的小機器」。
ex：
做一個「蓋底部」的小幫手
做一個「蓋柱子」的小幫手
之後只要叫它，它就會照著步驟幫你做事。
好處是： 不用一直重寫一樣的東西 程式會比較整齊、好看
2. 參數（Parameters）＝告訴小幫手要做多少 參數就是「你給小幫手的指令內容」。
ex：
指令輸入：go 4 意思是：走 4 格
這個「4」會被存起來，讓程式知道你要走幾格。 這樣同一個功能，就可以做出不同結果。
3. 迴圈（Loops）＝一直做，做到完成為止 迴圈就是「重複做同一件事」。
ex：
柱子還沒蓋到指定高度 → 繼續蓋
數量還不夠 → 再做一次
程式會自己一直做，直到條件達成，不用你一個一個慢慢做。
4. 變數（Variables）＝用來記住數字的盒子 變數就像一個裝數字的小盒子。
ex： 長度 寬度 高度
如果想改大小，只要改盒子裡的數字，整個建築就會一起改，很方便。
小總結（給小朋友記的版本）
用「函式」把事情分好，讓程式更好管理
用「參數」告訴程式要做多少
用「變數」記住重要的數字
用「迴圈」讓程式自己一直做
","1.下面哪一個最適合用「迴圈」？
A. 蓋1次門
B. 蓋 10 格高的柱子
Ans： B，因為要重複做很多次。

2.為什麼「蓋柱子」比較適合寫成函式，而不是直接寫在主程式裡？
Ans:因為柱子可能會一直用到，寫成函式可以重複使用，也讓主程式看起來比較簡單。

3.下面哪一個情況「一定要用變數」比較好？為什麼？
A. 只走 1 格
B. 蓋一棟會一直改大小的房子
Ans: B，因為大小會常改，用變數只要改一個地方就好。

4.下面哪一種寫法比較好？為什麼？
A. 每蓋一次就直接寫指令
B. 寫一個函式，用參數決定要蓋幾格
Ans： B，因為比較好改，也比較不容易出錯。"," 應用班
vendor"
,32,2026.1.19,教育版應用班_L2,快速建造積木介紹：方塊與圓形的生成方式,"1. 方塊生成積木（像蓋積木一樣）
 可以一次放很多方塊，不用一顆一顆慢慢放。
可以設定什麼？
放什麼方塊（例如石頭、木頭） 從哪裡開始放 要怎麼放（像是直接蓋上去，還是只放空的地方） 位置怎麼算？
都是用「agent站的位置」當作起點 往前、往上、往旁邊算距離
適合用在什麼地方？
蓋正方形 蓋立方體 蓋房子、牆壁、地板
2. 圓形積木（幫你畫出圓形）
可以幫你蓋出「圓形」，不用自己慢慢排方塊。
需要設定哪些東西？
半徑： 圓心到外圍的距離，數字越大，圓越大
面向方向： 決定圓是「躺著」還是「立著」 x(東西) / y(上下) / z（南北） 軸
圓心位置： 通常用agent當中心
生成方式：
例如直接把原本的方塊換掉
適合用在什麼地方？ 圓形地板 圓形屋頂 魔法陣、裝飾圖案
3. 共同點
都是用「玩家站的位置」當基準
都可以設定生成規則
決定要不要覆蓋原本的方塊
都是用來「快速建造」的大工具","1. 如果你想蓋一個「站著的圓形牆」，你應該要設定哪個東西？為什麼？
Ans： 要設定「面向方向」，因為面向會決定圓是躺著還是立著，設定錯了圓就會變成地板而不是牆。

2.圓形積木的半徑變大時，圓形會發生什麼變化？
Ans： 半徑變大，圓就會變大，因為圓心到邊緣的距離變遠了。

3.如果你不小心把圓心設錯，最有可能發生什麼問題？
Ans： 圓形會出現在奇怪的地方，可能蓋到空中，或是離玩家很遠。

4.什麼情況下，你會同時用到「方塊填充積木」和「圓形積木」？請舉一個例子。
Ans： 例如蓋一座塔： 下面用方塊填充積木蓋成正方形的塔身，上面再用圓形積木做圓形屋頂。","base     fountain

      應用班"
,33,2026.1.20,教育版應用班_L3,旋轉木馬，扭蛋機，售票口,"項目                         羊駝                                         馬
能不能騎                  不行(可以乘坐)                        可以
能不能搬東西           可以（箱子）                          不行
會不會反擊              會吐口水                                  不會
適合用途                  運輸物品                                  移動、探險

參考資料：https://minecraft.fandom.com/wiki/Llama
                   https://minecraft.fandom.com/wiki/Horse
扭蛋機原理 
利用物品展示框會輸出不同大小的紅石能量
展示框每轉一個方向，紅石訊號就會改變
紅石比較器會讀取這個訊號
當能量「夠大」時，發射器就會啟動並發射物品
當能量「不夠」時，發射器不會動，等待下一次轉動
因為轉到哪個方向很難控制，所以看起來像隨機抽獎","1.哪一個元件會「讀取」物品展示框的紅石訊號？
A. 發射器
B. 紅石比較器
C. 紅石火把
Ans：B

2.什麼情況下發射器會發射物品？
A. 任何時候都會
B. 紅石能量不夠時
C. 紅石能量足夠時
Ans：C

3.馬第一次被騎時，通常會發生什麼事？
A. 馬立刻聽話
B. 馬會把玩家甩下來
C. 馬會消失
Ans：B",    應用班
,34,2026.1.21,教育版應用班_L4,運用蜂蜜塊製作迴轉壽司,"蜂蜜塊
  1.很黏 會黏住旁邊的方塊 活塞推動時，旁邊方塊會一起動
  2.側邊會慢慢滑下來 碰到側邊不會直接掉下去 適合安全下降、跑酷關卡
  3.掉在上面比較不痛 從高處掉下來傷害比較低 常用來做防摔地板
  4.走在上面會變慢 移動速度變慢 跳躍不靈活
  5.不會黏史萊姆方塊 蜂蜜塊和史萊姆方塊放一起會分開
  6.常用在紅石機關設計 活塞不能把它拉回 推得動，但拉不回來 適合做特殊紅石結構
  參考資料：https://minecraft.fandom.com/wiki/Honey_Block

1. 目標選擇器（找對象用）
@p：最近的玩家
@a：所有玩家
@e：所有實體（玩家、生物、物品都算）
常用條件: [type=...]：指定生物種類 [tag=...]：有某個標籤的對象 [r=數字]：距離範圍 [c=數量]：選幾個
例子： 選 5 格內有「店員」標籤的 NPC @e[tag=店員, r=5]
2. 標籤指令（幫生物做記號）
新增標籤： /tag @e add 標籤名稱
查看標籤： /tag @e list
用途： 用標籤記住「誰是誰」，方便指令控制。
3. NPC 對話指令
開啟 NPC 對話： /dialogue open @e[tag=店員, r=7] @p
意思： 讓 7 格內有「店員」標籤的 NPC，和玩家說話。
4. execute 指令（幫別人做事）
1.18 版本： /execute @p ~ ~ ~ 指令
1.19 之後： /execute at @p run 指令    1刻 ＝0.05 秒
用途： 讓指令「在某個人或生物的位置執行」。","1.為什麼在紅石機關中，常常會把「蜂蜜塊」和「史萊姆方塊」一起使用？
Ans： 因為蜂蜜塊不會黏史萊姆方塊，可以讓同一個活塞推動不同結構但不互相影響。

2.有一個活塞推著蜂蜜塊前進，蜂蜜塊旁邊黏了 2 個方塊，活塞收回時會發生什麼事？
Ans： 蜂蜜塊和被黏住的方塊都不會被拉回。 因為活塞只能推蜂蜜塊，不能拉回它。

3.@e[tag=店員, r=5, c=1] 這行指令「最多」會選到幾個實體？條件是什麼？
Ans： 1 個 (c = 1)  必須是 5 格內、而且有「店員」標籤的實體。

4.如果指令中只寫 @p，為什麼通常不需要加 [r=...]？
Ans： 因為 @p 本來就只會選最近的玩家。

5.為什麼在做 NPC 對話或商店時，一定要先用 /tag 幫 NPC 加標籤？
Ans： 因為標籤可以準確選到指定 NPC，不會選到其他生物或玩家。

6.已知 1 刻 = 0.05 秒， 那 20 刻等於幾秒？ 這個時間常用來做什麼？
Ans： 1 秒 常用來控制指令或紅石的延遲時間。",    應用班
,35,2026.1.22,教育版應用班_L5,"用變數, 迴圈製作大型燈飾 認識攝影機","彩色燈飾
一、先設定三個數字
正方形邊長：一定要是奇數，才會有中間 柱子高度：燈要蓋多高
一排燈的數量： (正方形邊長 - 1) ÷ 2
二、燈的顏色怎麼放？
把不同顏色的羊毛放進一個箱子（陣列） 每放一盞燈，就從箱子裡隨機拿一個顏色 重複放置，燈就會變成彩色的
三、重點記住
邊長一定要是奇數 中間不放燈 顏色用隨機方式放

認識攝影機
一、怎麼拍照？
手拿攝影機，對著想拍的地方按右鍵，就能拍照 如果對著地面按右鍵，會放出一台攝影機 再對著攝影機按右鍵，會開始倒數，幫玩家拍照
二、照片在哪裡？
拍好的照片會存在「相簿」裡 選擇想要的照片，按下載 照片就會出現在背包中
三、怎麼展示照片？
先放一個物品框架 再把照片放進物品框架 照片就可以展示出來了","1. 哪一種操作「一定會出現倒數拍照」？
A. 手拿攝影機對空中按右鍵
B. 手拿攝影機對玩家按右鍵
C. 先對地面按右鍵放出攝影機，再對攝影機按右鍵
D. 對物品框架按右鍵
Ans：C

2. 正方形邊長是 9，一排燈飾的數量是多少？
A. 3
B. 4
C. 5
D. 8
Ans：B  計算：(9 − 1) ÷ 2 = 4

3. 下列哪一個最適合用來放「不同顏色的羊毛」？
A. 變數
B. 陣列
C. 判斷式
D. 座標
Ans：B
","colorful_decoractive_lights

    應用班"
,36,2026.1.25,教育版應用班_L6," 認識標靶以及 /fill 指令,  /clone 指令","Minecraft 標靶（Target）
  可以接收紅石訊號的方塊
  用弓箭或弩射擊就會啟動
  射中位置不同，紅石能量強弱不同
  射在中間訊號最強
  只會短暫輸出紅石能量
  常用於射箭遊戲與紅石機關
參考資料：https://minecraft.fandom.com/wiki/Target
/fill 指令                                                                  /clone 指令
用來快速填滿一整個區域的方塊                             用來複製一個區域的方塊到另一個地方
可指定方塊種類                                                      原本的建築會被完整複製
常用來蓋牆、地板、大型結構                                可選擇是否保留目標位置的方塊
會直接改變原本的方塊                                           常用來複製房子或機關                                                     
/fill 起點 x y z 終點 x y z 物品ID                             /clone 起點 x y z 終點 x y z 建造 x y z 
簡單比較
/fill：大量生成「同一種方塊」
/clone：複製「已經存在的建築」","1.老師想快速做一個 10×10 的平地讓大家蓋房子，最適合用哪個指令？
Ans：/fill

2.你做了一個紅石機關，想在旁邊再做一模一樣的機關，該用哪個指令？
Ans：/clone

3.為什麼用 /fill 蓋房子時，要小心不要把裡面的空間也填滿？
Ans： 因為 /fill 會把整個選取區域全部換成同一種方塊，可能會把門、空氣或通道一起填掉。

4.為什麼 /clone 很適合複製紅石機關？
答案：
因為 /clone 會把原本的方塊配置一起複製，機關結構不會改變。

5. 用弓箭射中標靶的正中心時，會輸出幾格紅石能量？
Ans： 15 格紅石能量（最強）",應用班
,37,2026.1.26,教育版應用班_L7,"Minecraft 基岩版/教育版指令方塊與進階指令應用測驗
整合 /fill replace、/testfor、/summon 指令","Replace 指令
(1.20 前）
/fill 35 15 53 35 5 75 quartz_block 0 replace air
意思： 把座標 35 15 53 到 35 5 75 範圍內的「空氣（air）」 全部取代成「石英方塊（quartz_block）」
(1.20 後)
不需要方塊資料時，可以直接省略
/fill 起點 終點 方塊ID replace 被取代的方塊ID
/fill 35 15 53 35 5 75 quartz_block replace air
/testfor 偵測指令
/testfor 目標
用來偵測玩家或其他實體，通常當作「判斷條件」使用， 有偵測到 → 再執行其他指令。
ex:
/testfor Alice 偵測玩家 Alice 是否在線上。
/testfor @a[r=3] 偵測 3 格內的生存玩家 是否存在。
/summon 召喚指令
/summon 物品ID x y z
用來召喚實體，不能召喚方塊 => 方塊要用 /setblock
可以召喚的東西: 怪物、生物 Agent 船、礦車（ID：minecart）
基岩版/教育版 指令方塊
脈衝指令方塊（橘色）  觸發一次，執行一次
連鎖指令方塊（綠色） 接在其他指令方塊後 前一個成功才會執行
重複指令方塊（紫色） 會一直執行 常用來做偵測
重要設定選項
1.需要紅石 / 永遠啟用
2.有條件 / 無條件
3.延遲（tick）：1 tick = 0.05 秒","1. /fill 10 5 10 10 1 10 stone replace air 正確的描述是？
A. 把範圍內所有方塊變成空氣
B. 把空氣替換成石頭
C. 把石頭替換成空氣
D. 在範圍內召喚石頭
Ans：B

2./testfor 指令的主要用途是？
A. 產生玩家
B. 直接改變世界
C. 當作條件判斷
D. 放置方塊
Ans：C

3.下列哪一個「不能」被 /summon 召喚？
A. 殭屍
B. 礦車
C. 方塊
D. 船
Ans：C

4.指令方塊一定要接紅石才會執行
Ans：✘ （可設定為「永遠啟用」）

5.如果 /fill 不加 replace，會發生什麼事？
Ans： 範圍內的所有方塊都會被直接替換。",應用班
,38,2026.1.27,教育版應用班_L8,Minecraft 指令方塊進階應用：顯示文字、計分板與控制指令,"顯示文字
/titleraw 可以在畫面下方顯示文字或計分板分數。
可以一次顯示很多段內容，每一段中間用逗號隔開。
在顏色符號前加上 \n，文字就會換到下一行。
建立計分板
/scoreboard objectives add game dummy
dummy 是「假的計分板」，不會自動加分，只能靠指令改。
設定項目與分數
/scoreboard players set 分 game 0
建立一個叫「分」的項目，並把分數設成 0。
增加分數
/scoreboard players add 秒 game 1
常用在計時器或得分系統，讓數字慢慢變大。
偵測分數
/scoreboard players test 秒 game 1 10
用來判斷分數有沒有在指定範圍內，常接紅石或指令方塊用。
放置方塊
/setblock 11 22 33 redstone_block
在指定座標放方塊，也可以用相對座標。
1.20 之後，方向要用 [""direction""=方向代號] 方式寫。
清除指令
/kill 不只能殺玩家，也能清怪物或物品。
type=zombie 清殭屍，type=item 清地上的掉落物。","1.為什麼建立計分板時一定要加 dummy？
Ans：因為 dummy 是虛擬計分板，不會自動變動，只能用指令控制。

2.如果想在「秒」介於 1～10 時才觸發指令，應該用哪一個指令？
Ans：
/scoreboard players test 秒 game 1 10 
test 是用來判斷，不會改變分數指令成功時才會執行後面的連鎖指令方塊

3.為什麼清掉落物通常用 /kill @e[type=item] 而不是 /kill @e？
Ans： 因為 /kill @e 會把所有實體都清掉，可能誤殺玩家或怪物。

4.做一個計時器，每秒讓「秒」加 1，當秒數到 10 時停止加分，最少需要用到哪兩種計分板指令？
Ans: players add players test ,  add 負責加時間,  test 判斷有沒有到上限",應用班
,39,2026.1.27,教育版應用班_L9,Minecraft 指令：變數、迴圈與/effect神奇效果,"重置關卡
找出方塊放置時「座標重複變化的規律」
用變數（x座標、z座標）記錄位置
用重複迴圈取代一直手動放方塊
在迴圈中讓座標固定加值（例如 +4）
每一排結束要把座標重設，避免位置跑掉
=>變數管位置，迴圈管次數
隨機執行指令
將多個作弊指令存進變數 「指令」的陣列
當特定方塊（如：沙）被破壞時觸發事件
從「指令」陣列中 隨機取一個指令
讓玩家執行該隨機指令
=>陣列存指令，隨機取一個來執行
效果指令
/effect @p 效果名稱 持續時間 效果強度
每個效果適合的強度都有所不同
除了立即治療與立即傷害的時間單位為「遊戲刻」之外，其它的效果時間單位都為「秒」
假設想要用強度五的加速十秒，則寫成 /effect @p speed 10 5","1.你把以下指令存進「指令」陣列中：
/effect @p speed 10 3
/effect @p jump_boost 10 2
/effect @p slowness 5 1
當玩家破壞「沙」方塊時，系統會隨機執行一條指令。 請問這個設計的 兩個核心觀念 是什麼？
Ans：陣列：用來一次管理多個指令, 隨機取值：避免每次效果都一樣，增加變化性

2.你用迴圈放 5 排方塊，每排 4 個，總共放幾個方塊？
Ans：5 × 4 = 20 個方塊

3.放一排方塊 x 每次 +4，放完一排後要換排，z +4。 請問放第二排第一個方塊時，x 和 z 應該是多少？
已知第一排第一個方塊 x=0, z=0
Ans： x 回到原位 = 0 z 往前 +4 = z=4

4.小華想要放很多方塊，如果每次都手動放太慢，他應該用什麼？
A. 變數
B. 隨機指令
C. 迴圈
Ans： 迴圈,  迴圈可以讓同樣的事情重複做很多次。","lucky_parkour

   應用班"
,40,2026.1.28,教育版應用班_L10,掌握「允許方塊」與陣列邏輯,"倒數動畫：
依序顯示§c3（紅）→§e2（黃）→§a1（綠）→§fGo!（白）
每次間隔1000毫秒
陣列基礎：
索引從0開始
[  ](第0個櫃子),    [  ](第1個櫃子),    [  ](第2個櫃子),     [  ](第3個櫃子) ....
Minecraft 允許方塊（Allow Block）
版本限定：基岩版、教育版
作用範圍：只影響「允許方塊上方」的區域
讓沒有建造權限的玩家 可以在「上方區域」放置與破壞方塊
破關偵測
這段程式碼的任務是檢查地圖上有沒有「沙子」：
 固定 X 座標：所有的檢查點都在 X = -11 的位置。
 變動 Y 和 Z 座標：透過 index 小幫手，電腦會同時去抓取 y 陣列和 z 陣列裡的數值。
 偵測動作：
 當 index 是 0 時，檢查第一個點。當 index 是 1 時，檢查第二個點。
 一直檢查到第 10 個點（index 為 9）。","1.電腦在讀取「陣列櫃子」時，第一個櫃子的編號（索引）是從 0 開始的。 如果我們現在要把「Go!」放在第 4 個櫃子裡，請問這個櫃子的編號 index 是多少？ 
(A) 3
(B) 4
(C) 5
Ans： (A) 3。解析：因為編號是 0, 1, 2, 3，所以第 4 個櫃子的編號是 3。

2.你在地板下埋了一個 「允許方塊 (Allow Block)」。 請問它的神奇力量可以影響到哪裡的區域？ 
(A) 整個地圖
(B) 只有允許方塊的「正上方」
(C) 只有允許方塊的「正下方」
Ans： (B) 只有允許方塊的「正上方」

3.讓小朋友自己改程式變成放15（變數）個沙子才可以過關！","fast_and_furious


  應用班"
,41,2026.02.01,教育版應用班_L11,雙人大富翁 基礎設計,"地圖設定
  地圖上每格的座標都寫在程式裡（x[]、z[]）
  棋子會沿著這些座標走
玩家移動邏輯
  格數 0~43 第44格要歸0
  擲骰子（隨機1~6）決定走幾格
  每走一步 原本棋子所在的格子變空氣
資料保存   
  每個玩家都有：所在格子 金幣數量
  程式會記住玩家位置，不會走丟
  金幣用「計分板（scoreboard）」記錄，每次遊戲開始都會歸零
函式：把棋子移動、檢查事件、重置棋盤拆成小功能
條件判斷：根據格子顏色決定事件（加或減金幣）
迴圈：每次骰子數字決定前進步數","1. 當玩家移動到第44格時，為什麼要將格數歸0？
Ans: 第44格時就回到起點了！！設為0之後就可以繼續跑下一圈

2. 棋子目前在 第 42 格，骰子擲出 5 點，棋子會停在哪格？
Ans： 42 + 5 = 47  超過 44 → 回到 0 格 → 47 - 44 = 第 3 格

3.為什麼程式要先把棋子原本位置設為 ”空氣“ 才放新棋子？
Ans： 如果不清掉舊棋子，棋子會疊在一起，看不出前進的動畫

4.如果玩家 1 擲骰子時骰到 6 步，途中第 3 步停在 紅色方塊，程式會加或減金幣嗎？
Ans： 不會 程式只有在 走完所有步數後才檢查格子事件，中途停的格子不會觸發事件","Monopoly
   應用班"
,42,2026.02.02,教育版應用班_L12,命運系統（規則 及 動畫）,"命運機制：
  命運選項 = [""後退2步"",    ""前進5步"",  ""損失2金幣"",  ""得到10金幣"",""回到原點""]
  當玩家踩到「洋紅色混凝土」時，觸發 命運動畫()
  根據 命運 這個數字（0 到 4），執行對應的程式碼區塊
  當命運是 0（後退2步）或 4（回到起點）時，程式必須處理舊位置刪除與新位置放置
  當命運是 2 或 3 時，不移動棋子，直接操作 /scoreboard 指令。

命運動畫
  這段程式碼的核心是利用 for 迴圈製造
  依序顯示選項，每次暫停50毫秒","1. 在執行「後退」的程式碼中，有一行非常重要
     if (格數 == -1) { 格數 = 43 } 請問這行程式碼的目的是什麼？
 Ans: 讓玩家在退後超過起點（Index 0）時，能移動到地圖的最後一格（Index 43）

2.在 命運動畫() 函式裡，for 迴圈使用了 lpause(50) 如果我們把 50 改成 2000 (2秒)，會發生什麼事？
 Ans: 數字越大，停頓越久

3.如果 命運 隨機抽到的數字是 2，請問畫面上會顯示哪一個命運？
  Ans: 損失2金幣","monopoly_final
  應用班"
,43,2026.02.02,教育版應用班_L13,道具商店以及NPC對話設定,"開啟對話與 NPC 設定  
  /dialogue open @e[tag=\"""" + 玩家 + ""商店\""] @p
  @e[tag=""...""]: 這是關鍵！它在找場地上帶有特定標籤（Tag）的 NPC
  NPC 的設置
  召喚 NPC，並給予對應標籤  /tag @e[type=npc,c=1] add 玩家1號商店
前進道具：蘋果 
後退道具：金蘋果
道具與 NPC 的連動
  1.商店 NPC 提供按鈕觸發 /give @p apple
  2.玩家點擊蘋果觸發 互動
  3.程式計算新的座標並更新方塊位置
","1. 程式碼中，商店() 函式是透過偵測什麼方塊來開啟 NPC 對話框的？
 Ans: 綠色混凝土 

2.在執行完道具移動（例如走完 3 步）後，最後一定要把 格數 賦值回 玩家1(或2)所在格子
如果不做這一步，下次玩家擲骰子移動時會發生什麼事？
Ans:玩家會從「吃道具前」的位置開始走，導致剛才的移動無效。

3.程式碼中，處理「前進」是 格數 + 1，而「後退」是 格數 -1。
當玩家在第 0 格執行「後退」時，程式碼是如何確保他不會變負數的？
Ans: if (格數 == -1) { 格數 = 43 }","monopoly_final
  應用班"
,44,2026.02.02,教育版應用班_L14,兌換星星規則機制系統,"兌換星星規則
  程式會檢查玩家腳下（高度 y=3）是否為 青色混凝土 (CYAN)。
   只要有「經過」星星格時  因為 前進() 函式裡每一格都會呼叫 換星星()
開啟對話框與交易
  一旦踩到星星格，程式會立刻跳出 NPC 對話視窗
  這裡會開啟一個名為「玩家X換星星」的 NPC 介面 讓玩家檢查是否有足夠金幣（例如 20 金幣）來換取 1 顆星星
  ！！ 當一顆星星被換走後，它會在地圖上消失並出現在另一個隨機位置!  !
       step1: 清理舊位置  
       step2: 隨機生成新位置, 如果選到 12~24 號格子，就重選（避開商店區）(while 迴圈)
       step3: 放置新星星
勝負影響   優先比星星數量，星星一樣才比金幣
  ","1. 程式碼中，換星星() 函式是被放在 前進() 的迴圈裡的 這代表什麼意義？
    Ans: 玩家只要「經過」星星格，不論有沒有停下，都會觸發對話框

2.哪一種方塊作為「星星」的視覺呈現??
    Ans: 信標 (BEACON)

3.當玩家換走星星後，程式碼執行了 方塊放置.pickRandom(), 這行指令的作用是什麼？ 
 Ans: 讓原本星星站的那一格變回普通的地板（隨機顏色混凝土）

4. 如果 新的星星位置 抽到了 15，請問會發生什麼事？
(A) 星星會壞掉
(B) 星星會生成在第 15 格 
(C) 條件符合 while 區間，程式會重新執行 randint，直到抽到不屬於 12~24 的數字。
Ans: (C)","monopoly_final
  應用班"
,45,2026.02.02,教育版應用班_L15,回合設置（重置場地）以及 /replaceitem指令介紹,"場地自動化生成
   重製場地() 函式利用 填""air""清空空間，並用 for 迴圈跑完 0~43 個座標，
   隨機鋪設不同功能的方塊（黃、綠、紅、洋紅混凝土）
時鐘 (Clock) 的功能
  每當玩家點擊時鐘，程式會執行：
  判定遊戲是否結束： 檢查 回合 > 10。
  身分切換： 玩家 1 結束後，給玩家 2黃金搞，並將 輪到的玩家 字串更新。
取代物品指令
  /replaceitem entity @p slot.hotbar 欄位 物品ID
  物品欄位編號從 0 開始，總共有 9 格，因此物品欄位為 0 到 8
  如果想將最近玩家的物品欄位第二格（欄位編號 1）取代成鑽石劍
   則寫成 /replaceitem entity @p slot.hotbar 1 diamond_sword
  
差異比較
  /give                                                     /replaceitem
  增加物品                                              覆蓋物品
  無法控制，自動填入物品槽                 精確控制，可指定特定格位
  背包滿時，物品會掉落在玩家腳邊      背包滿時，照樣取代，不受背包格數影響。","1.在遊戲進行中，若想避免玩家因為「背包滿了」而拿不到關鍵的遊戲道具），哪一個指令比較好？
(A) /give：因為它會掉在地上讓玩家撿。
(B) /replaceitem：因為它會直接強行覆蓋，不受背包空格限制。
Ans: (B)

2.如果想把「時鐘」永遠固定在玩家物品欄的最右邊那一格，指令中的欄位編號應該填入多少？
Ans: 8 ,   0 到 8，最右邊是 8

3.在 重製場地() 函式中，程式碼使用了 for (int index = 0; index <= 43; index++)。
 如果我想要把地圖從 44 格擴張到 60 格，除了增加 X 與 Z 陣列的座標外，這個迴圈應該如何修改？
Ans: index <= 59

4.當「玩家 1 號」完成移動並按下時鐘後，程式會：
判定回合是否結束  
將「輪到的玩家」變數改為「玩家 2 號」
執行哪一個指令發放道具給下一位玩家？
Ans: /replaceitem entity @p slot.hotbar 1 golden_sword (教學影片是黃金搞，金劍是我自己改的)","monopoly_final 
  應用班"
,"增
能
培
訓",麥塊教育版應對手冊 https://docs.google.com/presentation/d/1-PHKmbWRruG3whA-BXCFrx2XiRtnd-lk8v6P0tjKY08/edit#slide=id.p,,,,,
